1:0:d=2016010100:UGRD:planetary boundary layer:48 hour fcst:
2:180556:d=2016010100:VGRD:planetary boundary layer:48 hour fcst:
3:359112:d=2016010100:var discipline=0 center=7 local_table=1 parmcat=2 parm=224:planetary boundary layer:48 hour fcst:
4:447804:d=2016010100:GUST:surface:48 hour fcst:
5:628249:d=2016010100:HGT:10 mb:48 hour fcst:
6:798292:d=2016010100:TMP:10 mb:48 hour fcst:
7:866532:d=2016010100:RH:10 mb:48 hour fcst:
8:890523:d=2016010100:UGRD:10 mb:48 hour fcst:
9:966593:d=2016010100:VGRD:10 mb:48 hour fcst:
10:1040879:d=2016010100:ABSV:10 mb:48 hour fcst:
11:1161216:d=2016010100:O3MR:10 mb:48 hour fcst:
12:1285418:d=2016010100:HGT:20 mb:48 hour fcst:
13:1452961:d=2016010100:TMP:20 mb:48 hour fcst:
14:1524500:d=2016010100:RH:20 mb:48 hour fcst:
15:1572350:d=2016010100:UGRD:20 mb:48 hour fcst:
16:1705135:d=2016010100:VGRD:20 mb:48 hour fcst:
17:1822703:d=2016010100:ABSV:20 mb:48 hour fcst:
18:1952813:d=2016010100:O3MR:20 mb:48 hour fcst:
19:2161669:d=2016010100:HGT:30 mb:48 hour fcst:
20:2357799:d=2016010100:TMP:30 mb:48 hour fcst:
21:2431356:d=2016010100:RH:30 mb:48 hour fcst:
22:2489177:d=2016010100:UGRD:30 mb:48 hour fcst:
23:2630242:d=2016010100:VGRD:30 mb:48 hour fcst:
24:2758279:d=2016010100:ABSV:30 mb:48 hour fcst:
25:2900417:d=2016010100:O3MR:30 mb:48 hour fcst:
26:3148274:d=2016010100:HGT:50 mb:48 hour fcst:
27:3349150:d=2016010100:TMP:50 mb:48 hour fcst:
28:3429925:d=2016010100:RH:50 mb:48 hour fcst:
29:3498256:d=2016010100:UGRD:50 mb:48 hour fcst:
30:3658414:d=2016010100:VGRD:50 mb:48 hour fcst:
31:3806352:d=2016010100:ABSV:50 mb:48 hour fcst:
32:3977825:d=2016010100:O3MR:50 mb:48 hour fcst:
33:4208863:d=2016010100:HGT:70 mb:48 hour fcst:
34:4415758:d=2016010100:TMP:70 mb:48 hour fcst:
35:4504218:d=2016010100:RH:70 mb:48 hour fcst:
36:4609421:d=2016010100:UGRD:70 mb:48 hour fcst:
37:4786255:d=2016010100:VGRD:70 mb:48 hour fcst:
38:4956509:d=2016010100:ABSV:70 mb:48 hour fcst:
39:5152331:d=2016010100:O3MR:70 mb:48 hour fcst:
40:5406180:d=2016010100:HGT:100 mb:48 hour fcst:
41:5621538:d=2016010100:TMP:100 mb:48 hour fcst:
42:5712595:d=2016010100:RH:100 mb:48 hour fcst:
43:5827538:d=2016010100:VVEL:100 mb:48 hour fcst:
44:6159571:d=2016010100:UGRD:100 mb:48 hour fcst:
45:6355687:d=2016010100:VGRD:100 mb:48 hour fcst:
46:6540212:d=2016010100:ABSV:100 mb:48 hour fcst:
47:6755476:d=2016010100:CLWMR:100 mb:48 hour fcst:
48:6792026:d=2016010100:O3MR:100 mb:48 hour fcst:
49:7031801:d=2016010100:HGT:150 mb:48 hour fcst:
50:7252503:d=2016010100:TMP:150 mb:48 hour fcst:
51:7349449:d=2016010100:RH:150 mb:48 hour fcst:
52:7498625:d=2016010100:VVEL:150 mb:48 hour fcst:
53:7808454:d=2016010100:UGRD:150 mb:48 hour fcst:
54:7934922:d=2016010100:VGRD:150 mb:48 hour fcst:
55:8059086:d=2016010100:ABSV:150 mb:48 hour fcst:
56:8307438:d=2016010100:CLWMR:150 mb:48 hour fcst:
57:8351018:d=2016010100:O3MR:150 mb:48 hour fcst:
58:8587709:d=2016010100:HGT:200 mb:48 hour fcst:
59:8809924:d=2016010100:TMP:200 mb:48 hour fcst:
60:8913691:d=2016010100:RH:200 mb:48 hour fcst:
61:9103630:d=2016010100:VVEL:200 mb:48 hour fcst:
62:9447575:d=2016010100:UGRD:200 mb:48 hour fcst:
63:9582871:d=2016010100:VGRD:200 mb:48 hour fcst:
64:9716448:d=2016010100:ABSV:200 mb:48 hour fcst:
65:9887579:d=2016010100:CLWMR:200 mb:48 hour fcst:
66:9933792:d=2016010100:O3MR:200 mb:48 hour fcst:
67:10174813:d=2016010100:HGT:250 mb:48 hour fcst:
68:10397208:d=2016010100:TMP:250 mb:48 hour fcst:
69:10501998:d=2016010100:RH:250 mb:48 hour fcst:
70:10715469:d=2016010100:VVEL:250 mb:48 hour fcst:
71:10971497:d=2016010100:UGRD:250 mb:48 hour fcst:
72:11114089:d=2016010100:VGRD:250 mb:48 hour fcst:
73:11260277:d=2016010100:ABSV:250 mb:48 hour fcst:
74:11450366:d=2016010100:CLWMR:250 mb:48 hour fcst:
75:11512348:d=2016010100:O3MR:250 mb:48 hour fcst:
76:11827548:d=2016010100:HGT:300 mb:48 hour fcst:
77:12048512:d=2016010100:TMP:300 mb:48 hour fcst:
78:12155193:d=2016010100:RH:300 mb:48 hour fcst:
79:12389394:d=2016010100:VVEL:300 mb:48 hour fcst:
80:12667452:d=2016010100:UGRD:300 mb:48 hour fcst:
81:12822909:d=2016010100:VGRD:300 mb:48 hour fcst:
82:12979855:d=2016010100:ABSV:300 mb:48 hour fcst:
83:13182516:d=2016010100:CLWMR:300 mb:48 hour fcst:
84:13257352:d=2016010100:O3MR:300 mb:48 hour fcst:
85:13606309:d=2016010100:HGT:350 mb:48 hour fcst:
86:13826018:d=2016010100:TMP:350 mb:48 hour fcst:
87:13929517:d=2016010100:RH:350 mb:48 hour fcst:
88:14161367:d=2016010100:VVEL:350 mb:48 hour fcst:
89:14451821:d=2016010100:UGRD:350 mb:48 hour fcst:
90:14605378:d=2016010100:VGRD:350 mb:48 hour fcst:
91:14762191:d=2016010100:ABSV:350 mb:48 hour fcst:
92:14971789:d=2016010100:CLWMR:350 mb:48 hour fcst:
93:15052127:d=2016010100:O3MR:350 mb:48 hour fcst:
94:15389688:d=2016010100:HGT:400 mb:48 hour fcst:
95:15607018:d=2016010100:TMP:400 mb:48 hour fcst:
96:15714651:d=2016010100:RH:400 mb:48 hour fcst:
97:15952308:d=2016010100:VVEL:400 mb:48 hour fcst:
98:16252522:d=2016010100:UGRD:400 mb:48 hour fcst:
99:16408706:d=2016010100:VGRD:400 mb:48 hour fcst:
100:16567453:d=2016010100:ABSV:400 mb:48 hour fcst:
101:16777955:d=2016010100:CLWMR:400 mb:48 hour fcst:
102:16857335:d=2016010100:O3MR:400 mb:48 hour fcst:
103:17189286:d=2016010100:HGT:450 mb:48 hour fcst:
104:17436796:d=2016010100:TMP:450 mb:48 hour fcst:
105:17543960:d=2016010100:RH:450 mb:48 hour fcst:
106:17781364:d=2016010100:VVEL:450 mb:48 hour fcst:
107:18086052:d=2016010100:UGRD:450 mb:48 hour fcst:
108:18239655:d=2016010100:VGRD:450 mb:48 hour fcst:
109:18395043:d=2016010100:ABSV:450 mb:48 hour fcst:
110:18603266:d=2016010100:CLWMR:450 mb:48 hour fcst:
111:18680196:d=2016010100:HGT:500 mb:48 hour fcst:
112:18926145:d=2016010100:TMP:500 mb:48 hour fcst:
113:19039558:d=2016010100:RH:500 mb:48 hour fcst:
114:19278213:d=2016010100:VVEL:500 mb:48 hour fcst:
115:19591374:d=2016010100:UGRD:500 mb:48 hour fcst:
116:19747209:d=2016010100:VGRD:500 mb:48 hour fcst:
117:19904443:d=2016010100:ABSV:500 mb:48 hour fcst:
118:20114374:d=2016010100:CLWMR:500 mb:48 hour fcst:
119:20191358:d=2016010100:HGT:550 mb:48 hour fcst:
120:20435890:d=2016010100:TMP:550 mb:48 hour fcst:
121:20551843:d=2016010100:RH:550 mb:48 hour fcst:
122:20792111:d=2016010100:VVEL:550 mb:48 hour fcst:
123:21109473:d=2016010100:UGRD:550 mb:48 hour fcst:
124:21264296:d=2016010100:VGRD:550 mb:48 hour fcst:
125:21419617:d=2016010100:ABSV:550 mb:48 hour fcst:
126:21627502:d=2016010100:CLWMR:550 mb:48 hour fcst:
127:21702394:d=2016010100:HGT:600 mb:48 hour fcst:
128:21956216:d=2016010100:TMP:600 mb:48 hour fcst:
129:22073353:d=2016010100:RH:600 mb:48 hour fcst:
130:22315950:d=2016010100:VVEL:600 mb:48 hour fcst:
131:22638169:d=2016010100:UGRD:600 mb:48 hour fcst:
132:22895028:d=2016010100:VGRD:600 mb:48 hour fcst:
133:23152619:d=2016010100:ABSV:600 mb:48 hour fcst:
134:23363064:d=2016010100:CLWMR:600 mb:48 hour fcst:
135:23440154:d=2016010100:HGT:650 mb:48 hour fcst:
136:23693735:d=2016010100:TMP:650 mb:48 hour fcst:
137:23816298:d=2016010100:RH:650 mb:48 hour fcst:
138:24060759:d=2016010100:VVEL:650 mb:48 hour fcst:
139:24387982:d=2016010100:UGRD:650 mb:48 hour fcst:
140:24648740:d=2016010100:VGRD:650 mb:48 hour fcst:
141:24907488:d=2016010100:ABSV:650 mb:48 hour fcst:
142:25122210:d=2016010100:CLWMR:650 mb:48 hour fcst:
143:25202559:d=2016010100:HGT:700 mb:48 hour fcst:
144:25456491:d=2016010100:TMP:700 mb:48 hour fcst:
145:25581771:d=2016010100:RH:700 mb:48 hour fcst:
146:25825691:d=2016010100:VVEL:700 mb:48 hour fcst:
147:26158035:d=2016010100:UGRD:700 mb:48 hour fcst:
148:26420598:d=2016010100:VGRD:700 mb:48 hour fcst:
149:26683261:d=2016010100:ABSV:700 mb:48 hour fcst:
150:26900691:d=2016010100:CLWMR:700 mb:48 hour fcst:
151:26987013:d=2016010100:HGT:750 mb:48 hour fcst:
152:27241494:d=2016010100:TMP:750 mb:48 hour fcst:
153:27371105:d=2016010100:RH:750 mb:48 hour fcst:
154:27617897:d=2016010100:VVEL:750 mb:48 hour fcst:
155:27955248:d=2016010100:UGRD:750 mb:48 hour fcst:
156:28218509:d=2016010100:VGRD:750 mb:48 hour fcst:
157:28482480:d=2016010100:ABSV:750 mb:48 hour fcst:
158:28706063:d=2016010100:CLWMR:750 mb:48 hour fcst:
159:28791996:d=2016010100:HGT:800 mb:48 hour fcst:
160:29049901:d=2016010100:TMP:800 mb:48 hour fcst:
161:29186087:d=2016010100:RH:800 mb:48 hour fcst:
162:29437097:d=2016010100:VVEL:800 mb:48 hour fcst:
163:29778870:d=2016010100:UGRD:800 mb:48 hour fcst:
164:30045332:d=2016010100:VGRD:800 mb:48 hour fcst:
165:30315950:d=2016010100:ABSV:800 mb:48 hour fcst:
166:30544941:d=2016010100:CLWMR:800 mb:48 hour fcst:
167:30634902:d=2016010100:HGT:850 mb:48 hour fcst:
168:30895212:d=2016010100:TMP:850 mb:48 hour fcst:
169:31040324:d=2016010100:RH:850 mb:48 hour fcst:
170:31297004:d=2016010100:VVEL:850 mb:48 hour fcst:
171:31642352:d=2016010100:UGRD:850 mb:48 hour fcst:
172:31911122:d=2016010100:VGRD:850 mb:48 hour fcst:
173:32184277:d=2016010100:ABSV:850 mb:48 hour fcst:
174:32416650:d=2016010100:CLWMR:850 mb:48 hour fcst:
175:32522562:d=2016010100:HGT:900 mb:48 hour fcst:
176:32786658:d=2016010100:TMP:900 mb:48 hour fcst:
177:32932979:d=2016010100:RH:900 mb:48 hour fcst:
178:33184186:d=2016010100:VVEL:900 mb:48 hour fcst:
179:33533122:d=2016010100:UGRD:900 mb:48 hour fcst:
180:33804232:d=2016010100:VGRD:900 mb:48 hour fcst:
181:34077624:d=2016010100:ABSV:900 mb:48 hour fcst:
182:34311153:d=2016010100:CLWMR:900 mb:48 hour fcst:
183:34424085:d=2016010100:HGT:925 mb:48 hour fcst:
184:34691230:d=2016010100:TMP:925 mb:48 hour fcst:
185:34836289:d=2016010100:RH:925 mb:48 hour fcst:
186:35085984:d=2016010100:VVEL:925 mb:48 hour fcst:
187:35432331:d=2016010100:UGRD:925 mb:48 hour fcst:
188:35703273:d=2016010100:VGRD:925 mb:48 hour fcst:
189:35975998:d=2016010100:ABSV:925 mb:48 hour fcst:
190:36207881:d=2016010100:CLWMR:925 mb:48 hour fcst:
191:36372598:d=2016010100:HGT:950 mb:48 hour fcst:
192:36643612:d=2016010100:TMP:950 mb:48 hour fcst:
193:36783901:d=2016010100:RH:950 mb:48 hour fcst:
194:37024159:d=2016010100:VVEL:950 mb:48 hour fcst:
195:37364507:d=2016010100:UGRD:950 mb:48 hour fcst:
196:37636177:d=2016010100:VGRD:950 mb:48 hour fcst:
197:37908072:d=2016010100:ABSV:950 mb:48 hour fcst:
