1:0:d=2015012800:PRMSL:mean sea level:48 hour fcst:
2:1536377:d=2015012800:PRES:1 hybrid level:48 hour fcst:
3:1853650:d=2015012800:HGT:1 hybrid level:48 hour fcst:
4:2818039:d=2015012800:TMP:1 hybrid level:48 hour fcst:
5:3771342:d=2015012800:RH:1 hybrid level:48 hour fcst:
6:5253796:d=2015012800:DPT:1 hybrid level:48 hour fcst:
7:6859422:d=2015012800:SPFH:1 hybrid level:48 hour fcst:
8:7432021:d=2015012800:UGRD:1 hybrid level:48 hour fcst:
9:8603661:d=2015012800:VGRD:1 hybrid level:48 hour fcst:
10:9742798:d=2015012800:PRES:2 hybrid level:48 hour fcst:
11:10064214:d=2015012800:HGT:2 hybrid level:48 hour fcst:
12:11094891:d=2015012800:TMP:2 hybrid level:48 hour fcst:
13:12018575:d=2015012800:DPT:2 hybrid level:48 hour fcst:
14:13598875:d=2015012800:SPFH:2 hybrid level:48 hour fcst:
15:14144158:d=2015012800:UGRD:2 hybrid level:48 hour fcst:
16:15324695:d=2015012800:VGRD:2 hybrid level:48 hour fcst:
17:16472999:d=2015012800:REFC:entire atmosphere (considered as a single layer):48 hour fcst:
18:17133645:d=2015012800:VIS:surface:48 hour fcst:
19:17239804:d=2015012800:VIS:surface:48 hour fcst:
20:17850726:d=2015012800:GUST:surface:48 hour fcst:
21:18622618:d=2015012800:GRLE:2 mb:48 hour fcst:
22:18622834:d=2015012800:HGT:50 mb:48 hour fcst:
23:19820693:d=2015012800:TMP:50 mb:48 hour fcst:
24:20392993:d=2015012800:RH:50 mb:48 hour fcst:
25:21306574:d=2015012800:DPT:50 mb:48 hour fcst:
26:21306790:d=2015012800:SPFH:50 mb:48 hour fcst:
27:21886303:d=2015012800:VVEL:50 mb:48 hour fcst:
28:23252214:d=2015012800:UGRD:50 mb:48 hour fcst:
29:23912432:d=2015012800:VGRD:50 mb:48 hour fcst:
30:24501506:d=2015012800:ABSV:50 mb:48 hour fcst:
31:24946945:d=2015012800:HGT:100 mb:48 hour fcst:
32:26320283:d=2015012800:TMP:100 mb:48 hour fcst:
33:27175192:d=2015012800:RH:100 mb:48 hour fcst:
34:28164351:d=2015012800:DPT:100 mb:48 hour fcst:
35:28178287:d=2015012800:SPFH:100 mb:48 hour fcst:
36:29207456:d=2015012800:VVEL:100 mb:48 hour fcst:
37:30876027:d=2015012800:UGRD:100 mb:48 hour fcst:
38:31884078:d=2015012800:VGRD:100 mb:48 hour fcst:
39:32835112:d=2015012800:ABSV:100 mb:48 hour fcst:
40:33532314:d=2015012800:HGT:150 mb:48 hour fcst:
41:34789059:d=2015012800:TMP:150 mb:48 hour fcst:
42:35582080:d=2015012800:RH:150 mb:48 hour fcst:
43:36956187:d=2015012800:DPT:150 mb:48 hour fcst:
44:37638988:d=2015012800:SPFH:150 mb:48 hour fcst:
45:38743030:d=2015012800:VVEL:150 mb:48 hour fcst:
46:40040017:d=2015012800:UGRD:150 mb:48 hour fcst:
47:41058525:d=2015012800:VGRD:150 mb:48 hour fcst:
48:42039777:d=2015012800:ABSV:150 mb:48 hour fcst:
49:42820280:d=2015012800:HGT:200 mb:48 hour fcst:
50:44202129:d=2015012800:TMP:200 mb:48 hour fcst:
51:45218746:d=2015012800:RH:200 mb:48 hour fcst:
52:46646394:d=2015012800:DPT:200 mb:48 hour fcst:
53:47691977:d=2015012800:SPFH:200 mb:48 hour fcst:
54:48669297:d=2015012800:VVEL:200 mb:48 hour fcst:
55:49974691:d=2015012800:UGRD:200 mb:48 hour fcst:
56:50832744:d=2015012800:VGRD:200 mb:48 hour fcst:
57:51704297:d=2015012800:ABSV:200 mb:48 hour fcst:
58:52393852:d=2015012800:HGT:250 mb:48 hour fcst:
59:53604661:d=2015012800:TMP:250 mb:48 hour fcst:
60:54601745:d=2015012800:RH:250 mb:48 hour fcst:
61:56017197:d=2015012800:DPT:250 mb:48 hour fcst:
62:57221598:d=2015012800:SPFH:250 mb:48 hour fcst:
63:58437229:d=2015012800:VVEL:250 mb:48 hour fcst:
64:59832579:d=2015012800:UGRD:250 mb:48 hour fcst:
65:60646753:d=2015012800:VGRD:250 mb:48 hour fcst:
66:61489059:d=2015012800:ABSV:250 mb:48 hour fcst:
67:62179708:d=2015012800:HGT:300 mb:48 hour fcst:
68:63244586:d=2015012800:TMP:300 mb:48 hour fcst:
69:63855162:d=2015012800:RH:300 mb:48 hour fcst:
70:65271050:d=2015012800:DPT:300 mb:48 hour fcst:
71:66473660:d=2015012800:SPFH:300 mb:48 hour fcst:
72:67334711:d=2015012800:VVEL:300 mb:48 hour fcst:
73:68636178:d=2015012800:UGRD:300 mb:48 hour fcst:
74:69519963:d=2015012800:VGRD:300 mb:48 hour fcst:
75:70429143:d=2015012800:ABSV:300 mb:48 hour fcst:
76:71165134:d=2015012800:HGT:350 mb:48 hour fcst:
77:72259571:d=2015012800:TMP:350 mb:48 hour fcst:
78:73326810:d=2015012800:RH:350 mb:48 hour fcst:
79:74679933:d=2015012800:DPT:350 mb:48 hour fcst:
80:75825857:d=2015012800:SPFH:350 mb:48 hour fcst:
81:76757267:d=2015012800:VVEL:350 mb:48 hour fcst:
82:78081325:d=2015012800:UGRD:350 mb:48 hour fcst:
83:78927925:d=2015012800:VGRD:350 mb:48 hour fcst:
84:79809055:d=2015012800:ABSV:350 mb:48 hour fcst:
85:80535045:d=2015012800:HGT:400 mb:48 hour fcst:
86:81650332:d=2015012800:TMP:400 mb:48 hour fcst:
87:82292825:d=2015012800:RH:400 mb:48 hour fcst:
88:83601774:d=2015012800:DPT:400 mb:48 hour fcst:
89:84738580:d=2015012800:SPFH:400 mb:48 hour fcst:
90:85730598:d=2015012800:VVEL:400 mb:48 hour fcst:
91:86731705:d=2015012800:UGRD:400 mb:48 hour fcst:
92:87635835:d=2015012800:VGRD:400 mb:48 hour fcst:
93:88543122:d=2015012800:ABSV:400 mb:48 hour fcst:
94:89290930:d=2015012800:HGT:450 mb:48 hour fcst:
95:90398608:d=2015012800:TMP:450 mb:48 hour fcst:
96:91041032:d=2015012800:RH:450 mb:48 hour fcst:
