1:0:d=2015123100:UGRD:planetary boundary layer:3 hour fcst:
2:170573:d=2015123100:VGRD:planetary boundary layer:3 hour fcst:
3:338576:d=2015123100:var discipline=0 center=7 local_table=1 parmcat=2 parm=224:planetary boundary layer:3 hour fcst:
4:426565:d=2015123100:GUST:surface:3 hour fcst:
5:601768:d=2015123100:HGT:10 mb:3 hour fcst:
6:758848:d=2015123100:TMP:10 mb:3 hour fcst:
7:828246:d=2015123100:RH:10 mb:3 hour fcst:
8:854079:d=2015123100:UGRD:10 mb:3 hour fcst:
9:930584:d=2015123100:VGRD:10 mb:3 hour fcst:
10:1005830:d=2015123100:ABSV:10 mb:3 hour fcst:
11:1121795:d=2015123100:O3MR:10 mb:3 hour fcst:
12:1239791:d=2015123100:HGT:20 mb:3 hour fcst:
13:1396304:d=2015123100:TMP:20 mb:3 hour fcst:
14:1467113:d=2015123100:RH:20 mb:3 hour fcst:
15:1514918:d=2015123100:UGRD:20 mb:3 hour fcst:
16:1632356:d=2015123100:VGRD:20 mb:3 hour fcst:
17:1744925:d=2015123100:ABSV:20 mb:3 hour fcst:
18:1872906:d=2015123100:O3MR:20 mb:3 hour fcst:
19:2068690:d=2015123100:HGT:30 mb:3 hour fcst:
20:2225753:d=2015123100:TMP:30 mb:3 hour fcst:
21:2297182:d=2015123100:RH:30 mb:3 hour fcst:
22:2357059:d=2015123100:UGRD:30 mb:3 hour fcst:
23:2483043:d=2015123100:VGRD:30 mb:3 hour fcst:
24:2605940:d=2015123100:ABSV:30 mb:3 hour fcst:
25:2746455:d=2015123100:O3MR:30 mb:3 hour fcst:
26:2952106:d=2015123100:HGT:50 mb:3 hour fcst:
27:3142649:d=2015123100:TMP:50 mb:3 hour fcst:
28:3219421:d=2015123100:RH:50 mb:3 hour fcst:
29:3287810:d=2015123100:UGRD:50 mb:3 hour fcst:
30:3432558:d=2015123100:VGRD:50 mb:3 hour fcst:
31:3568660:d=2015123100:ABSV:50 mb:3 hour fcst:
32:3731653:d=2015123100:O3MR:50 mb:3 hour fcst:
33:3949066:d=2015123100:HGT:70 mb:3 hour fcst:
34:4147808:d=2015123100:TMP:70 mb:3 hour fcst:
35:4230870:d=2015123100:RH:70 mb:3 hour fcst:
36:4327286:d=2015123100:UGRD:70 mb:3 hour fcst:
37:4492343:d=2015123100:VGRD:70 mb:3 hour fcst:
38:4647897:d=2015123100:ABSV:70 mb:3 hour fcst:
39:4828939:d=2015123100:O3MR:70 mb:3 hour fcst:
40:5066695:d=2015123100:HGT:100 mb:3 hour fcst:
41:5276099:d=2015123100:TMP:100 mb:3 hour fcst:
42:5361987:d=2015123100:RH:100 mb:3 hour fcst:
43:5472788:d=2015123100:VVEL:100 mb:3 hour fcst:
44:5710627:d=2015123100:UGRD:100 mb:3 hour fcst:
45:5891702:d=2015123100:VGRD:100 mb:3 hour fcst:
46:6062950:d=2015123100:ABSV:100 mb:3 hour fcst:
47:6258085:d=2015123100:CLWMR:100 mb:3 hour fcst:
48:6293500:d=2015123100:O3MR:100 mb:3 hour fcst:
49:6513869:d=2015123100:HGT:150 mb:3 hour fcst:
50:6726557:d=2015123100:TMP:150 mb:3 hour fcst:
51:6814377:d=2015123100:RH:150 mb:3 hour fcst:
52:6948394:d=2015123100:VVEL:150 mb:3 hour fcst:
53:7238046:d=2015123100:UGRD:150 mb:3 hour fcst:
54:7351802:d=2015123100:VGRD:150 mb:3 hour fcst:
55:7463035:d=2015123100:ABSV:150 mb:3 hour fcst:
56:7689222:d=2015123100:CLWMR:150 mb:3 hour fcst:
57:7727011:d=2015123100:O3MR:150 mb:3 hour fcst:
58:7940688:d=2015123100:HGT:200 mb:3 hour fcst:
59:8153863:d=2015123100:TMP:200 mb:3 hour fcst:
60:8248633:d=2015123100:RH:200 mb:3 hour fcst:
61:8416956:d=2015123100:VVEL:200 mb:3 hour fcst:
62:8740738:d=2015123100:UGRD:200 mb:3 hour fcst:
63:8861854:d=2015123100:VGRD:200 mb:3 hour fcst:
64:8985144:d=2015123100:ABSV:200 mb:3 hour fcst:
65:9233959:d=2015123100:CLWMR:200 mb:3 hour fcst:
66:9304332:d=2015123100:O3MR:200 mb:3 hour fcst:
67:9518609:d=2015123100:HGT:250 mb:3 hour fcst:
68:9731030:d=2015123100:TMP:250 mb:3 hour fcst:
69:9828250:d=2015123100:RH:250 mb:3 hour fcst:
70:10019800:d=2015123100:VVEL:250 mb:3 hour fcst:
71:10368758:d=2015123100:UGRD:250 mb:3 hour fcst:
72:10500155:d=2015123100:VGRD:250 mb:3 hour fcst:
73:10631929:d=2015123100:ABSV:250 mb:3 hour fcst:
74:10898170:d=2015123100:CLWMR:250 mb:3 hour fcst:
75:10956775:d=2015123100:O3MR:250 mb:3 hour fcst:
76:11240756:d=2015123100:HGT:300 mb:3 hour fcst:
77:11448525:d=2015123100:TMP:300 mb:3 hour fcst:
78:11546519:d=2015123100:RH:300 mb:3 hour fcst:
79:11756223:d=2015123100:VVEL:300 mb:3 hour fcst:
80:12091597:d=2015123100:UGRD:300 mb:3 hour fcst:
81:12230569:d=2015123100:VGRD:300 mb:3 hour fcst:
82:12370005:d=2015123100:ABSV:300 mb:3 hour fcst:
83:12650898:d=2015123100:CLWMR:300 mb:3 hour fcst:
84:12717457:d=2015123100:O3MR:300 mb:3 hour fcst:
85:13039552:d=2015123100:HGT:350 mb:3 hour fcst:
86:13244863:d=2015123100:TMP:350 mb:3 hour fcst:
87:13339505:d=2015123100:RH:350 mb:3 hour fcst:
88:13549217:d=2015123100:VVEL:350 mb:3 hour fcst:
89:13819743:d=2015123100:UGRD:350 mb:3 hour fcst:
90:13957076:d=2015123100:VGRD:350 mb:3 hour fcst:
91:14096552:d=2015123100:ABSV:350 mb:3 hour fcst:
92:14278526:d=2015123100:CLWMR:350 mb:3 hour fcst:
93:14349575:d=2015123100:O3MR:350 mb:3 hour fcst:
94:14656886:d=2015123100:HGT:400 mb:3 hour fcst:
95:14859443:d=2015123100:TMP:400 mb:3 hour fcst:
96:14956370:d=2015123100:RH:400 mb:3 hour fcst:
97:15170749:d=2015123100:VVEL:400 mb:3 hour fcst:
98:15448230:d=2015123100:UGRD:400 mb:3 hour fcst:
99:15589834:d=2015123100:VGRD:400 mb:3 hour fcst:
100:15733000:d=2015123100:ABSV:400 mb:3 hour fcst:
101:15920433:d=2015123100:CLWMR:400 mb:3 hour fcst:
102:15989932:d=2015123100:O3MR:400 mb:3 hour fcst:
103:16290100:d=2015123100:HGT:450 mb:3 hour fcst:
104:16522131:d=2015123100:TMP:450 mb:3 hour fcst:
105:16620752:d=2015123100:RH:450 mb:3 hour fcst:
106:16835944:d=2015123100:VVEL:450 mb:3 hour fcst:
107:17120154:d=2015123100:UGRD:450 mb:3 hour fcst:
108:17258217:d=2015123100:VGRD:450 mb:3 hour fcst:
109:17397208:d=2015123100:ABSV:450 mb:3 hour fcst:
110:17583556:d=2015123100:CLWMR:450 mb:3 hour fcst:
111:17653244:d=2015123100:HGT:500 mb:3 hour fcst:
112:17883343:d=2015123100:TMP:500 mb:3 hour fcst:
113:17987341:d=2015123100:RH:500 mb:3 hour fcst:
114:18206874:d=2015123100:VVEL:500 mb:3 hour fcst:
115:18499336:d=2015123100:UGRD:500 mb:3 hour fcst:
116:18735562:d=2015123100:VGRD:500 mb:3 hour fcst:
117:18972570:d=2015123100:ABSV:500 mb:3 hour fcst:
118:19162243:d=2015123100:CLWMR:500 mb:3 hour fcst:
119:19231916:d=2015123100:HGT:550 mb:3 hour fcst:
120:19461390:d=2015123100:TMP:550 mb:3 hour fcst:
121:19567674:d=2015123100:RH:550 mb:3 hour fcst:
122:19790463:d=2015123100:VVEL:550 mb:3 hour fcst:
123:20086701:d=2015123100:UGRD:550 mb:3 hour fcst:
124:20323053:d=2015123100:VGRD:550 mb:3 hour fcst:
125:20559982:d=2015123100:ABSV:550 mb:3 hour fcst:
126:20750059:d=2015123100:CLWMR:550 mb:3 hour fcst:
127:20821212:d=2015123100:HGT:600 mb:3 hour fcst:
128:21059514:d=2015123100:TMP:600 mb:3 hour fcst:
129:21168900:d=2015123100:RH:600 mb:3 hour fcst:
130:21392561:d=2015123100:VVEL:600 mb:3 hour fcst:
131:21696513:d=2015123100:UGRD:600 mb:3 hour fcst:
132:21935341:d=2015123100:VGRD:600 mb:3 hour fcst:
133:22174305:d=2015123100:ABSV:600 mb:3 hour fcst:
134:22366970:d=2015123100:CLWMR:600 mb:3 hour fcst:
135:22438419:d=2015123100:HGT:650 mb:3 hour fcst:
136:22679118:d=2015123100:TMP:650 mb:3 hour fcst:
137:22792137:d=2015123100:RH:650 mb:3 hour fcst:
138:23021847:d=2015123100:VVEL:650 mb:3 hour fcst:
139:23331274:d=2015123100:UGRD:650 mb:3 hour fcst:
140:23574070:d=2015123100:VGRD:650 mb:3 hour fcst:
141:23816966:d=2015123100:ABSV:650 mb:3 hour fcst:
142:24013547:d=2015123100:CLWMR:650 mb:3 hour fcst:
143:24089108:d=2015123100:HGT:700 mb:3 hour fcst:
144:24330312:d=2015123100:TMP:700 mb:3 hour fcst:
145:24445767:d=2015123100:RH:700 mb:3 hour fcst:
146:24677111:d=2015123100:VVEL:700 mb:3 hour fcst:
147:24990607:d=2015123100:UGRD:700 mb:3 hour fcst:
148:25235525:d=2015123100:VGRD:700 mb:3 hour fcst:
149:25480412:d=2015123100:ABSV:700 mb:3 hour fcst:
150:25680149:d=2015123100:CLWMR:700 mb:3 hour fcst:
151:25760862:d=2015123100:HGT:750 mb:3 hour fcst:
152:26005131:d=2015123100:TMP:750 mb:3 hour fcst:
153:26127018:d=2015123100:RH:750 mb:3 hour fcst:
154:26361288:d=2015123100:VVEL:750 mb:3 hour fcst:
155:26679420:d=2015123100:UGRD:750 mb:3 hour fcst:
156:26927335:d=2015123100:VGRD:750 mb:3 hour fcst:
157:27177943:d=2015123100:ABSV:750 mb:3 hour fcst:
158:27383196:d=2015123100:CLWMR:750 mb:3 hour fcst:
159:27462497:d=2015123100:HGT:800 mb:3 hour fcst:
160:27707605:d=2015123100:TMP:800 mb:3 hour fcst:
161:27833873:d=2015123100:RH:800 mb:3 hour fcst:
162:28071883:d=2015123100:VVEL:800 mb:3 hour fcst:
163:28395048:d=2015123100:UGRD:800 mb:3 hour fcst:
164:28646504:d=2015123100:VGRD:800 mb:3 hour fcst:
165:28898903:d=2015123100:ABSV:800 mb:3 hour fcst:
166:29108970:d=2015123100:CLWMR:800 mb:3 hour fcst:
167:29194334:d=2015123100:HGT:850 mb:3 hour fcst:
168:29440983:d=2015123100:TMP:850 mb:3 hour fcst:
169:29574837:d=2015123100:RH:850 mb:3 hour fcst:
170:29816870:d=2015123100:VVEL:850 mb:3 hour fcst:
171:30146770:d=2015123100:UGRD:850 mb:3 hour fcst:
172:30404170:d=2015123100:VGRD:850 mb:3 hour fcst:
173:30662544:d=2015123100:ABSV:850 mb:3 hour fcst:
174:30877049:d=2015123100:CLWMR:850 mb:3 hour fcst:
175:30978261:d=2015123100:HGT:900 mb:3 hour fcst:
176:31228722:d=2015123100:TMP:900 mb:3 hour fcst:
177:31364980:d=2015123100:RH:900 mb:3 hour fcst:
178:31605557:d=2015123100:VVEL:900 mb:3 hour fcst:
179:31936117:d=2015123100:UGRD:900 mb:3 hour fcst:
180:32192756:d=2015123100:VGRD:900 mb:3 hour fcst:
181:32453378:d=2015123100:ABSV:900 mb:3 hour fcst:
182:32670689:d=2015123100:CLWMR:900 mb:3 hour fcst:
183:32857180:d=2015123100:HGT:925 mb:3 hour fcst:
184:33110219:d=2015123100:TMP:925 mb:3 hour fcst:
185:33247651:d=2015123100:RH:925 mb:3 hour fcst:
186:33483527:d=2015123100:VVEL:925 mb:3 hour fcst:
187:33812869:d=2015123100:UGRD:925 mb:3 hour fcst:
188:34069481:d=2015123100:VGRD:925 mb:3 hour fcst:
189:34329761:d=2015123100:ABSV:925 mb:3 hour fcst:
190:34546690:d=2015123100:CLWMR:925 mb:3 hour fcst:
191:34711805:d=2015123100:HGT:950 mb:3 hour fcst:
192:34968311:d=2015123100:TMP:950 mb:3 hour fcst:
193:35103681:d=2015123100:RH:950 mb:3 hour fcst:
194:35331491:d=2015123100:VVEL:950 mb:3 hour fcst:
195:35657684:d=2015123100:UGRD:950 mb:3 hour fcst:
196:35914567:d=2015123100:VGRD:950 mb:3 hour fcst:
197:36174386:d=2015123100:ABSV:950 mb:3 hour fcst:
198:36390072:d=2015123100:CLWMR:950 mb:3 hour fcst:
199:36516260:d=2015123100:var discipline=2 master_table=2 parmcat=4 parm=2:surface:3 hour fcst:
200:36569307:d=2015123100:HGT:975 mb:3 hour fcst:
201:36830548:d=2015123100:TMP:975 mb:3 hour fcst:
202:36961616:d=2015123100:RH:975 mb:3 hour fcst:
203:37184074:d=2015123100:VVEL:975 mb:3 hour fcst:
204:37497349:d=2015123100:UGRD:975 mb:3 hour fcst:
205:37755516:d=2015123100:VGRD:975 mb:3 hour fcst:
206:38015625:d=2015123100:ABSV:975 mb:3 hour fcst:
207:38230008:d=2015123100:CLWMR:975 mb:3 hour fcst:
208:38307888:d=2015123100:TMP:1000 mb:3 hour fcst:
209:38438685:d=2015123100:RH:1000 mb:3 hour fcst:
210:38658154:d=2015123100:VVEL:1000 mb:3 hour fcst:
211:38947028:d=2015123100:UGRD:1000 mb:3 hour fcst:
212:39206707:d=2015123100:VGRD:1000 mb:3 hour fcst:
213:39463140:d=2015123100:ABSV:1000 mb:3 hour fcst:
214:39674258:d=2015123100:CLWMR:1000 mb:3 hour fcst:
215:39710212:d=2015123100:MSLET:mean sea level:3 hour fcst:
216:39983905:d=2015123100:HGT:1000 mb:3 hour fcst:
217:40251133:d=2015123100:PRES:surface:3 hour fcst:
218:40506246:d=2015123100:HGT:surface:3 hour fcst:
219:40712936:d=2015123100:TMP:surface:3 hour fcst:
220:40878387:d=2015123100:TSOIL:0-0.1 m below ground:3 hour fcst:
221:41015050:d=2015123100:SOILW:0-0.1 m below ground:3 hour fcst:
222:41112568:d=2015123100:TSOIL:0.1-0.4 m below ground:3 hour fcst:
223:41248034:d=2015123100:SOILW:0.1-0.4 m below ground:3 hour fcst:
